"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","企业会计准则解释","关于印发企业会计准则解释第5号的通知","https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm","raw/standards/accounting/interpretations-pages/关于印发企业会计准则解释第5号的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则其他规定","关于保险公司执行新金融工具相关会计准则有关过渡办法的通知","https://kjs.mof.gov.cn/zhengcefabu/201707/t20170705_2638917.htm","raw/standards/accounting/other-rules-pages/011-关于保险公司执行新金融工具相关会计准则有关过渡办法的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于进一步贯彻落实新保险合同会计准则的通知","https://kjs.mof.gov.cn/zhengcefabu/202506/t20250612_3965538.htm","raw/standards/accounting/other-rules-pages/021-关于进一步贯彻落实新保险合同会计准则的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于修订印发2018年度金融企业财务报表格式的通知","https://kjs.mof.gov.cn/gongzuotongzhi/201812/t20181227_3109872.htm","raw/standards/accounting/other-rules-pages/001-关于修订印发2018年度金融企业财务报表格式的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于修订印发2019年度一般企业财务报表格式的通知","https://kjs.mof.gov.cn/zhengcefabu/201905/t20190510_3254992.htm","raw/standards/accounting/other-rules-pages/015-关于修订印发2019年度一般企业财务报表格式的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于修订印发合并财务报表格式（2019版）的通知","https://kjs.mof.gov.cn/zhengcefabu/201909/t20190927_3394088.htm","raw/standards/accounting/other-rules-pages/016-关于修订印发合并财务报表格式-2019版-的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于印发《地方政府专项债券相关业务会计处理暂行规定》的通知","https://kjs.mof.gov.cn/zhengcefabu/202509/t20250904_3971510.htm","raw/standards/accounting/other-rules-pages/022-关于印发-地方政府专项债券相关业务会计处理暂行规定-的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于印发《规范“三去一降一补”有关业务的会计处理规定》的通知","https://kjs.mof.gov.cn/zhengcefabu/201609/t20160927_2428006.htm","raw/standards/accounting/other-rules-pages/007-关于印发-规范“三去一降一补”有关业务的会计处理规定-的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于印发《金融负债与权益工具的区分及相关会计处理规定》的通知","https://kjs.mof.gov.cn/zhengcefabu/201403/t20140321_1057952.htm","raw/standards/accounting/other-rules-pages/004-关于印发-金融负债与权益工具的区分及相关会计处理规定-的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
"行业重要法规与准则","企业会计准则其他规定","关于印发《农业保险大灾风险准备金会计处理规定》的通知","https://kjs.mof.gov.cn/zhengcefabu/201403/t20140307_1052943.htm","raw/standards/accounting/other-rules-pages/003-关于印发-农业保险大灾风险准备金会计处理规定-的通知.html","html","ok","enterprise-accounting-standards-other-rules-download-2026-06-26","财政部会计司其他规定栏目"
